title,year,journal,doi,volume,authors,url,language,abstract,category,type,focus,Cfoc_1,Cfoc_2,Cfoc_3,Cmult_foc,Ofoc_1,Ofoc_2,Ofoc_3,Omult_foc,location,sub_location,mult_location,international,life_history_stage,study_duration,experiment_type,nat_product_benefit,keywords,recommendation
Concentration of fulvic acid in the growth bands of hermatypic corals in relation to local precipitation,1992,Coral Reefs,10.1007/BF00301991,11,"Fang, Lee-Shing and Chou, Yi-Cheng",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001592544&doi=10.1007%2fBF00301991&partnerID=40&md5=a4a1c3138065471bf283fd3864cf2007,english,"Coral growth rate and the concentrations of fulvic acid in the growth bands of the hermatypic coral Porites lutea Edwards & Haime and Favia maxima Veron were investigated in samples taken from 1986 to 1988 in the waters of southern Taiwan (22¬?05‚Ä?‚âà36‚Ä?N, 120¬?24‚Ä?‚âà50‚Ä?E). These were analyzed against the local annual precipitation, the locality of the sampling sites, the construction activity on nearby land and coral species. The results showed that the annual growth rate of P. lutea was 1.08¬±0.12 cm while F. maxima was 0.83¬±0.09 cm. The amount of fulvic acid incorporated in the growth band was positively correlated with the local annual precipitation. However, the correlation coefficient varied from as high as 0.9519 to as low as 0.0921 due to different topographies of the sampling sites, dilution factors from the ocean and construction activities along the coast. F. maxima was found to be more sensitive than P. lutea in terms of fulvic acid uptake from the surrounding waters. The study of fluorescence in the skeleton of hermatypic corals is a reasonable approach to biomonitor the environment after consideration of local factors. ¬© 1992 Springer-Verlag.",dynamics,scleractinian,multiple,porites_lutea,favia_maxima,NA,NA,NA,NA,NA,NA,multiple,NA,nanwan_bay; xiaoliuqiu; wanlitung,N,adult,short,laboratory,NA,"Precipitation, Sampling Site, Sedimentology, Fulvic Acid, Annual Growth",further_research
Patterns of Coral Distribution and Benthic Space Partitioning on the Fringing Reefs of Southern Taiwan,1993,Marine Ecology,10.1111/j.1439-0485.1993.tb00479.x,14,"Dai, Chang‚ÄêFeng",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027849064&doi=10.1111%2fj.1439-0485.1993.tb00479.x&partnerID=40&md5=a59f72b23133724682ac108731e383ea,english,"Abstract. The distribution pattern of corals and benthic space partitioning patterns on the fringing reefs of southern Taiwan were studied by the line‚Äêtransect method. The bathymetric distribution of corals in the study area was basically homogeneous except on the protected reef slopes and the exposed reef fronts and terraces. Corals on protected reef slopes are mainly foliaceous, including Montipora foliosa, Merulina ampliata, Mycedium elephantotus, and Pachyseris speciosa, but the dominant species on a reef slope vary from site to site. The formation of the foliaceous coral community is possibly related to a complex of environmental factors, chance, and biological interactions. The reef fronts and submarine terraces of exposed areas are dominated by alcyonacean corals. The most abundant species are Sarcophyton trocheliophorum, S. crassocaule, and Lobophytum sarcophytoides; their distributions are relatively homogeneous. The formation of alcyonacean‚Äêdominated assemblages can be related to the special adaptive strategies of these corals. In regard to space partitioning patterns, the major space occupiers on those reefs exposed to storm disturbances are alcyonacean soft corals, scleractinian corals, and algae; on reefs protected from storms, scleractinian corals and algae dominate. Two conspicuous features of the study area are the high proportion of space occupied by algae and the abundant unoccupied space. The dense algal cover is possibly caused by sewage pollution and overfishing of the reef area. The unoccupied space is most likely related to the high frequency of typhoon disturbances. Copyright ¬© 1993, Wiley Blackwell. All rights reserved",dynamics,scleractinian,community,NA,NA,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,undefined,undefined,field,NA,CORAL COMMUNITY; REEF ZONATION; SOUTHERN TAIWAN,NA
The effects of flow on feeding of three gorgonians from southern Taiwan,1993,Journal of Experimental Marine Biology and Ecology,10.1016/0022-0981(93)90207-5,173,"Chang-Feng, Dai and Ming-Chao, Lin",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027130946&doi=10.1016%2f0022-0981%2893%2990207-5&partnerID=40&md5=99782fee632ab4ee5dae84eb226c571d,english,"The feeding performances of three gorgonians, Subergorgia suberosa, Melithaea ochracea, Acanthogorgia vegae, in different flow regimes were studied. The three gorgonians expanded their polyps and fed in varying ranges of flow velocities. Differences in the feeding range are possibly related to polyp morphologies. S. suberosa, which has tall polyps and encounters higher drag, is more easily deformed in currents; it feeds in a narrow range of flow velocities (7-9 cm¬?s-1). M. ochracea, which has short polyps and encounters lower drag, is less readily deformed in currents; it feeds in a wider range of flow velocities (4-40 cm¬?s-1). Polyp heights of A. vegae are intermediate and this coral feeds in currents of 2-22 cm¬?s-1. The upper limits on the flow ranges are considered to be determined by the balance between the energy gained from feeding and the cost of keeping the polyps expanded. Optimal feeding rates of the three gorgonians were found at moderate flow velocities. Feeding rates increased initially with flow velocity, reached a peak value at 8 cm¬?s-1, then decreased with increasing flow velocities. Both the colony feeding effectiveness and the polyp feeding effectiveness at 8 cm¬?s-1 are ranked: S. suberosa >A. vegae>M. ochracea. ¬© 1993.",dynamics,octocoral,multiple,subergorgia_suberosa,melithaea_ochracea,acanthogorgia_vegae,NA,crustaceans,NA,NA,NA,south,nanwan_bay,NA,N,adult,short,laboratory,NA,Gorgonacea; Suspension feeding; Water flow,NA
PIGMENT COMPOSITION IN DIFFERENT-COLORED SCLERACTINIAN CORALS BEFORE AND DURING THE BLEACHING PROCESS,1995,ZOOLOGICAL STUDIES,NA,34,"FANG, LS and LIAO, CW and LIU, MC",NA,english,"Pigment composition in different-colored scleractinian corals before and during the bleaching process. Zoological Studies 34(1): 10-17. Scleractinian corals have many different color types in water. All the colors become bleached when the coral is under stress. The pigment changes behind these phenomena were investigated in the study. Analysis of pigment composition in four color types of seven stony coral species showed chi. a, chi. c(2), peridinin, diadinoxanthin and dinoxanthin comprised more than 95\% of the total amount of pigments. There was little compositional difference between these pigments in corals of different color. During bleaching caused by salinity change, both the number of zooxanthella in each polyp and the amount of total pigment in each zooxanthellae decreased with time. The rate of decline of porphyrins coincided with the level of stress that was created by lowering the salinity of the incubation sea water. The rate of decline of carotenoids was less sensitive. This suggests that the rate of change of porphyrins could reflect the bleaching status of stony coral.",climate_change,scleractinian,multiple,NA,NA,NA,acropora_selago;  acropora_nasuta; acropora_secale; montipora_undata; montipora_foliosa; montipora_aequituberculata; symphyllia_recta,NA,NA,NA,NA,south,hengchun,NA,N,adult,short,laboratory,NA,NA,NA
"SINUGIBBEROL, A NEW CYTOTOXIC CEMBRANOID DITERPENE FROM THE SOFT CORAL SINULARIA-GIBBEROSA",1995,JOURNAL OF NATURAL PRODUCTS-LLOYDIA,10.1021/np50121a026,58,"HOU, RS and DUH, CY and CHIANG, MY and LIN, CN",NA,english,"Bioactivity-guided fractionation of a chloroform extract of the soft coral Sinularia gibberosa afforded a new cytotoxic cembranoid diterpene, sinugibberol {[}1]. The structure of 1 was determined by spectral and X-ray crystallographic analysis.",natural_products,octocoral,single,sinularia_gibberosa,NA,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,undefined,laboratory,cancer,NA,NA
Reproductive ecology of the scleractinian coral Echinopora lamellosa in northern and southern Taiwan,1995,Marine Biology,10.1007/BF00349235,123,"Fan, T.-Y. and Dai, C.-F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029414566&doi=10.1007%2fBF00349235&partnerID=40&md5=5fed5495a7d3a76581397811e7221570,english,"Sexual reproduction of the scleractinian coral Echinopora lamellosa in Yenliao Bay, northern Taiwan, and in Nanwan Bay, southern Taiwan, was studied from 1990 to 1993. E. lamellosa is a hermaphroditic broadcast spawner. Gametogenesis takes about 4 to 6 mo and spawning occurs in the summer and fall (July to October). Gametogenesis of the Yenliao Bay population began in April, one month earlier than that of the Nanwan Bay population. Spawning of the Yenliao Bay population occurred in July and August 1991 and August 1992, two months earlier than that at Nanwan Bay in 1991 and in the same month at both sites in 1992. The delayed reproduction of E. lamellosa at the lower latitude (Nanwan Bay) suggests that sea temperature does not operate as a proximate cue for the timing of reproductive activity. The spawning season of the Nanwan Bay population may reflect the environmental conditions favoring the survival of planktonic larvae. The mature egg size (265 Œºm in 1991 and 251 Œºm in 1992, n=112) and colony size at sexual maturity (10.1 to 20.0 cm in diameter) of the Yenliao Bay population were significantly larger than those of the Nanwan Bay population (214 Œºm in 1991 and 216 Œºm in 1992 for egg size, n=112, and 2.6 to 5.0 cm for colony size at sexual maturity). The larger egg and colony size at sexual maturity may be related to the unfavorable environment in Yenliao Bay. ¬© 1995 Springer-Verlag.",reproduction,scleractinian,single,echinopora_lamellosa,NA,NA,NA,NA,NA,NA,NA,multiple,NA,northeast_coast; nanwan_bay,N,multiple,long,mixed,NA,NA,NA
The calibration of D[Sr/Ca] versus sea surface temperature relationship for Porites corals,1996,Geochimica et Cosmochimica Acta,10.1016/0016-7037(96)00205-0,60,"Shen, Chuan-Chou and Lee, Typhoon and Chen, Chi-Yun and Wang, Chung-Ho and Dai, Chang-Feng and Li, Lung-An",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030435302&doi=10.1016%2f0016-7037%2896%2900205-0&partnerID=40&md5=a47f5f4ecd53f7b7136700d8c23a1fab,english,"Taking advantage of the availability of a continuous sea surface temperature (SST) record at Kenting, southern Taiwan, we have carried out a calibration of D[Sr/Ca]-SST (D: distribution coefficient) relationships for Porites lobata and P. lutea. Between 22¬?C ‚àº 28¬?C, the best fitting linear relationships for the two species agree within their respective errors with a maximum deviation less than 0.3¬?C. Our calibration overlaps with the only published calibration for Porites (deVilliers et al., 1994) but is somewhat less temperature sensitive. The maximum temperature differences for the two calibrations between 21¬?C and 27¬?C are ¬± 1.2¬?C. The D-SST relationship calculated using the data of Beck et al. (1992, 1994) and their unpublished seawater data lies between these two calibrations. Our calibration removes some discrepancies previously described in the studies of McCulloch et al. (1994a) on the Great Barrier Reef and of Min et al. (1995) on New Caledonia. We found little growth rate effect on the calibration for P. lutea between 18 mm/yr and 23 mm/yr. We have also monitored the seawater [Sr/Ca] for the entire 1993. The observed variation of 0.033 mmol/mol can cause a temperature artifact of 0.7¬?C and is thus a dominant error in using this new paleo-thermometer. To carry out this experiment, we have developed a microsurgical technique that can be used to sample corals at better than 0.15 mm resolution. The analytical precision should ultimately allow SST reconstruction of better than 0.2¬?C. Furthermore, the insensitivity of the calibration against growth rate variation and species differences suggests a promising future for this new thermometer, in contrast to the pessimism of deVilliers et al. (1995). However, inter-laboratory differences and the question of seawater [Sr/Ca] variation need to be addressed first. We recommend a single SST calibration for the Sr/Ca thermometer on coral Porites: Sr/CaN = 10.286-0.0514 ?ó SST (N: normalized to Hawaii seawater [Sr/Ca] = 8.510 mmol/mol) or D[Sr/Ca] = 1.2077 - 0.006011 ?ó SST.",dynamics,scleractinian,multiple,porites_lutea,porites_lobata,NA,NA,NA,NA,NA,NA,south,inlet_reef,NA,N,adult,long,computational,NA,NA,NA
Cytotoxic cembranoids from the soft corals Sinularia gibberosa and Sarcophyton trocheliophorum,1996,JOURNAL OF NATURAL PRODUCTS,10.1021/np960174n,59,"Duh, CY and Hou, RS",NA,english,"Four new cytotoxic cembranoid diterpenes, 11,12-epoxy-1(E),3(E),7(E)-cembratrien-15-ol (1), 3,4:11,12-diepoxy-15-methoxy-1(E),7(E)-cembradiene (2), 1(E),3(E),7(E),1 1(E)-cembratetraene-14,15-diol (3), and 3,14-epoxy-1(E),7(E),11(E)-cembratriene-4,15-diol (4), have been isolated from the soft coral Sinularia gibberosa. Selective cytotoxicity was also observed for the new compound, 7 beta,8 alpha-dihydroxydeepoxysarcophine (5), and for sarcophine (6), and 16-deoxysarcophine (7), isolated from the soft coral Sarcophyton trocheliophorum. The structures of the new compounds were determined by spectral and chemical methods.",natural_products,octocoral,single,sarcophyton_trocheliophorum,sinularia_gibberosa,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,undefined,laboratory,cancer,NA,NA
New cytotoxic Briaran diterpenes from the formosan gorgonian Briareum sp,1996,JOURNAL OF NATURAL PRODUCTS,10.1021/np960218s,59,"Sheu, JH and Sung, PJ and Huang, LH and Lee, SF and Wu, TH and Chang, BY and Duh, CY and Fang, LS and Soong, K and Lee, TJ",https://pubs.acs.org/doi/full/10.1021/np960218s?casa_token=j2vwAzbKiCoAAAAA%3A9rhbywhrDv5Uedv8u6c0G506OTcySO8kAdggNbssI2xPtQ9OgGq7BGpqYFJk4APe_4nEE2FOqEDCMSQ,english,"Three new briaran diterpenes, 2 beta-acetoxy-2-(debutyryloxy) stecholide E (3), 9 -deacetylstylatulide lactone (4), and 4 beta-acetoxy-9-deacetylstylatulide lactone (5), and two known diterpenes, brianthein W (1) and 9-deacetylbriareolide H (2), have been isolated from a Briareum sp. of gorgonian. The structures and relative stereochemistry of these compounds were determined by spectroscopic and chemical methods. Diterpenes 2-4 and the corresponding 9-acetyl derivatives 6, 7, and 12 exhibited cytotoxicity toward various cancer cell lines.",natural_products,octocoral,single,briareum_sp,NA,NA,NA,NA,NA,NA,NA,south,nanwan_bay,NA,N,adult,undefined,laboratory,cytotoxicity,NA,NA
High temperature induces the synthesis of heat-shock proteins and the elevation of intracellular calcium in the coral Acropora grandis,1997,CORAL REEFS,10.1007/s003380050066,16,"Fang, LS and Huang, SP and Lin, KL",NA,english,"Elevated temperatures induce coral bleaching. To investigate subcellular changes in heat-stressed corals, we examined heat-shock proteins (hsps) and the concentration of calcium in coral cells at elevated temperatures. After heat treatment, three hsps with approximate molecular weights of 70, 60 and 35 kDa were prominent. The 35 kDa heat-shock protein was further demonstrated to be heme oxygenase by immunoblotting, suggesting the involvement of oxidative stress in coral cells during heat treatment. Since the expression of hsps needs the activation of a calcium signal, the change of intracellular calcium concentration in coral cells was examined by a FURA 2 fluorescence method under heat treatment. Intracellular calcium concentration increased at high temperatures with or without the presence of ambient calcium. The extent of the calcium concentration increase was constant for at least 6 hours. This result indicates the existence of an active calcium signal in coral cells at elevated temperatures.",climate_change,scleractinian,single,acropora_grandis,NA,NA,NA,NA,NA,NA,NA,south,nanwan_bay,NA,N,adult,short,laboratory,NA,NA,further_research
